"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2024-07-08T07:00:00.000Z","50.03","50.20","48.09","49.40","-0.0607","-0.4198","8,245,062"
"2024-07-09T07:00:00.000Z","50.07","50.99","49.79","50.60","2.43","2.07","4,674,023"
"2024-07-10T07:00:00.000Z","50.75","50.77","50.13","50.15","-0.8893","-1.25","4,620,887"
"2024-07-11T07:00:00.000Z","51.46","51.60","50.01","50.19","0.0798","-0.2794","4,354,889"
"2024-07-12T07:00:00.000Z","50.35","51.26","50.30","50.43","0.4782","0.1191","4,206,741"
"2024-07-15T07:00:00.000Z","54.98","55.96","54.66","55.53","10.11","9.75","7,423,573"
"2024-07-16T07:00:00.000Z","55.94","57.10","55.20","57.07","2.77","2.41","4,511,132"
"2024-07-17T07:00:00.000Z","56.61","57.24","55.85","56.54","-0.9287","-1.29","4,132,742"
"2024-07-18T07:00:00.000Z","56.80","56.87","55.30","55.60","-1.66","-2.02","4,597,783"
"2024-07-19T07:00:00.000Z","56.13","59.11","56.05","58.88","5.90","5.54","10,428,805"
"2024-07-22T07:00:00.000Z","59.20","59.77","58.25","59.73","1.44","1.08","5,028,973"
"2024-07-23T07:00:00.000Z","58.24","58.93","57.21","57.31","-4.05","-4.41","6,675,668"
"2024-07-24T07:00:00.000Z","58.34","58.73","57.34","57.41","0.1745","-0.1846","3,522,043"
"2024-07-25T07:00:00.000Z","56.22","57.00","55.43","56.54","-1.52","-1.87","4,767,871"
"2024-07-26T07:00:00.000Z","59.00","59.68","58.52","59.52","5.27","4.91","7,128,481"
"2024-07-29T07:00:00.000Z","60.97","61.00","58.07","58.85","-1.13","-1.48","6,467,529"
"2024-07-30T07:00:00.000Z","58.29","58.54","57.26","57.63","-2.07","-2.43","4,328,701"
"2024-07-31T07:00:00.000Z","58.08","58.46","56.76","57.06","-0.9891","-1.35","3,977,657"
"2024-08-01T07:00:00.000Z","56.51","56.74","54.37","55.35","-3.00","-3.36","9,502,125"
"2024-08-02T07:00:00.000Z","56.69","57.26","54.48","54.68","-1.21","-1.57","6,317,317"
"2024-08-05T07:00:00.000Z","43.53","48.60","43.34","46.80","-14.41","-14.77","18,342,710"
"2024-08-06T07:00:00.000Z","48.25","49.93","47.62","49.68","6.15","5.79","7,366,510"
"2024-08-07T07:00:00.000Z","50.15","50.33","47.80","47.88","-3.62","-3.98","5,722,077"
"2024-08-08T07:00:00.000Z","50.52","52.40","49.60","52.01","8.63","8.27","7,342,072"
"2024-08-09T07:00:00.000Z","52.83","53.50","52.11","53.10","2.10","1.74","3,278,840"
"2024-08-12T07:00:00.000Z","52.07","53.11","50.59","51.66","-2.71","-3.07","3,594,945"
"2024-08-13T07:00:00.000Z","51.57","53.91","51.51","53.24","3.06","2.70","3,237,725"
"2024-08-14T07:00:00.000Z","53.17","53.32","51.31","51.52","-3.23","-3.59","3,341,577"
"2024-08-15T07:00:00.000Z","51.72","52.37","49.58","49.88","-3.18","-3.54","4,776,169"
"2024-08-16T07:00:00.000Z","51.22","52.39","50.44","52.24","4.73","4.37","5,834,727"
"2024-08-19T07:00:00.000Z","51.38","51.89","50.81","51.60","-1.23","-1.58","2,591,600"
"2024-08-20T07:00:00.000Z","53.00","53.37","51.20","52.08","0.9302","0.5711","4,127,450"
"2024-08-21T07:00:00.000Z","52.04","53.93","51.48","53.88","3.46","3.10","4,741,849"
"2024-08-22T07:00:00.000Z","53.21","53.31","52.56","52.74","-2.12","-2.47","2,345,976"
"2024-08-23T07:00:00.000Z","53.47","55.92","53.19","55.73","5.67","5.31","9,259,390"
"2024-08-26T07:00:00.000Z","55.87","55.91","55.16","55.41","-0.5742","-0.9333","2,937,133"
"2024-08-27T07:00:00.000Z","54.63","54.64","53.73","54.33","-1.95","-2.31","4,374,817"
"2024-08-28T07:00:00.000Z","52.36","52.49","50.57","51.47","-5.26","-5.62","9,556,464"
"2024-08-29T07:00:00.000Z","52.65","53.48","51.48","51.79","0.6217","0.2626","7,449,685"
"2024-08-30T07:00:00.000Z","52.10","52.32","50.45","51.23","-1.08","-1.44","7,060,840"
"2024-09-03T07:00:00.000Z","51.69","51.69","50.24","50.70","-1.03","-1.39","7,602,244"
"2024-09-04T07:00:00.000Z","49.38","51.18","49.06","50.76","0.1183","-0.2408","6,748,490"
"2024-09-05T07:00:00.000Z","49.54","50.05","48.72","48.99","-3.49","-3.85","6,304,571"
"2024-09-06T07:00:00.000Z","49.62","49.74","46.49","46.74","-4.59","-4.95","11,662,442"
"2024-09-09T07:00:00.000Z","48.42","50.05","47.90","49.97","6.91","6.55","7,419,200"
"2024-09-10T07:00:00.000Z","49.76","50.78","49.40","50.70","1.46","1.10","2,068,924"
"2024-09-11T07:00:00.000Z","49.70","50.74","48.56","50.37","-0.6509","-1.01","5,095,219"
"2024-09-12T07:00:00.000Z","50.50","51.24","50.13","51.10","1.45","1.09","2,363,459"
"2024-09-13T07:00:00.000Z","50.51","52.55","50.45","52.31","2.37","2.01","4,299,201"
"2024-09-16T07:00:00.000Z","51.17","51.21","50.25","50.67","-3.14","-3.49","2,715,065"
"2024-09-17T07:00:00.000Z","51.90","53.70","51.49","52.42","3.45","3.09","6,607,824"
"2024-09-18T07:00:00.000Z","52.39","53.64","51.75","52.48","0.1145","-0.2447","4,657,849"
"2024-09-19T07:00:00.000Z","55.36","55.90","54.81","55.33","5.43","5.07","4,058,143"
"2024-09-20T07:00:00.000Z","55.09","55.58","54.54","54.95","-0.6958","-1.05","2,738,464"
"2024-09-23T07:00:00.000Z","55.38","55.81","55.13","55.38","0.7917","0.4326","2,192,384"
"2024-09-24T07:00:00.000Z","55.51","56.33","54.84","56.26","1.59","1.23","2,989,914"
"2024-09-25T07:00:00.000Z","55.58","55.98","55.05","55.25","-1.80","-2.15","2,102,519"
"2024-09-26T07:00:00.000Z","56.32","57.64","56.10","56.61","2.46","2.10","6,342,347"
"2024-09-27T07:00:00.000Z","57.47","58.23","57.18","57.43","1.45","1.09","4,900,700"
"2024-09-30T07:00:00.000Z","55.95","56.05","55.09","55.53","-3.31","-3.67","3,717,101"
"2024-10-01T07:00:00.000Z","55.41","55.47","53.30","53.98","-2.79","-3.15","8,029,187"
"2024-10-02T07:00:00.000Z","53.24","54.53","52.44","52.62","-2.52","-2.88","4,391,975"
"2024-10-03T07:00:00.000Z","52.87","53.38","52.35","53.35","1.39","1.03","3,209,063"
"2024-10-04T07:00:00.000Z","53.80","54.66","53.13","54.56","2.27","1.91","2,705,029"
"2024-10-07T07:00:00.000Z","55.19","56.41","54.88","55.42","1.58","1.22","3,352,306"
"2024-10-08T07:00:00.000Z","54.75","55.28","54.03","54.40","-1.84","-2.20","2,862,219"
"2024-10-09T07:00:00.000Z","54.12","54.54","53.10","53.28","-2.06","-2.42","2,458,201"
"2024-10-10T07:00:00.000Z","53.39","53.40","51.42","52.15","-2.12","-2.48","3,291,953"
"2024-10-11T07:00:00.000Z","53.67","55.52","53.66","55.23","5.91","5.55","6,359,186"
"2024-10-14T07:00:00.000Z","56.63","58.05","56.55","57.68","4.44","4.08","5,636,339"
